City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,udachny,66.4167,112.4,-4.75,79,76,3.1,RU,1696293637
83,monywa,22.1167,95.1333,25.49,89,76,3.15,MM,1696293637
84,yeongdong,36.175,127.7764,13.32,60,100,0.46,KR,1696293637
85,el matama,16.7095,33.3565,33.95,21,20,2.97,SD,1696293638
86,simanggang,1.2472,111.4528,25.01,94,40,1.03,MY,1696293638
87,wang nam yen,13.5033,102.1812,23.75,97,100,1.42,TH,1696293638
88,alofi,-19.0595,-169.9187,24.94,65,75,8.75,NU,1696293638
89,visaginas,55.6,26.4167,11.89,88,100,3.89,LT,1696293638
90,road town,18.4167,-64.6167,29.05,84,75,5.14,VG,1696293639
91,santiago del estero,-27.7951,-64.2615,26.44,32,0,4.42,AR,1696293639
92,lepsy,46.235,78.9456,13.33,69,100,3.46,KZ,1696293639
93,freetown,8.484,-13.2299,25.39,87,100,2.67,SL,1696293639
94,dongfeng,42.6403,125.5118,17.46,58,99,7.03,CN,1696293640
95,esqueda,30.7167,-109.5833,23.67,32,0,8.26,MX,1696293640
96,hamilton,39.1834,-84.5333,24.44,70,0,0.0,US,1696293528
97,mogocha,53.7333,119.7667,4.3,95,96,1.34,RU,1696293640
98,martapura,-3.4167,114.85,26.05,83,29,1.54,ID,1696293640
99,mbaiki,3.8678,17.9892,22.34,87,99,0.92,CF,1696293641
100,port douglas,-16.4833,145.4667,25.22,71,71,3.87,AU,1696293641
101,coquimbo,-29.9533,-71.3436,13.85,82,0,3.6,CL,1696293021
102,longyearbyen,78.2186,15.6401,-3.09,68,75,6.69,SJ,1696293641
103,stanley,54.868,-1.6985,9.33,93,7,2.12,GB,1696293627
104,iqaluit,63.7506,-68.5145,2.85,86,100,5.14,CA,1696293613
105,yuzhno-sukhokumsk,44.6581,45.6436,17.52,61,100,4.13,RU,1696293642
106,sandnessjoen,66.0217,12.6316,7.29,85,100,7.24,NO,1696293642
107,lerwick,60.1545,-1.1494,12.0,83,4,8.89,GB,1696293642
108,usogorsk,63.4106,48.6872,3.7,90,100,1.78,RU,1696293642
109,zemio,5.0314,25.1361,20.52,98,100,0.97,CF,1696293643
110,tsiombe,-25.3,45.4833,17.52,64,16,5.32,MG,1696293643
111,shemonaikha,50.6328,81.9056,8.07,72,26,1.64,KZ,1696293643
112,serdar,38.9764,56.2757,16.07,31,0,3.06,TM,1696293643
113,bilibino,68.0546,166.4372,-8.36,92,99,0.88,RU,1696293643
114,tralee,52.2704,-9.7026,11.19,89,100,4.56,IE,1696293644
115,bobo-dioulasso,11.1771,-4.2979,24.45,86,86,1.69,BF,1696293644
116,korla,41.7597,86.1469,17.68,32,100,3.35,CN,1696293558
117,prado,-17.3411,-39.2208,24.25,94,100,4.38,BR,1696293644
118,punta arenas,-53.15,-70.9167,6.06,75,0,4.12,CL,1696293355
119,castillos,-34.1667,-53.8333,10.42,94,36,2.5,UY,1696293645
120,crane,31.3974,-102.3501,26.84,55,72,12.16,US,1696293645
121,bubaque,11.2833,-15.8333,28.05,81,99,2.78,GW,1696293645
122,pitimbu,-7.4706,-34.8086,25.33,73,7,4.35,BR,1696293645
123,college,64.8569,-147.8028,4.69,73,75,4.12,US,1696293645
124,lebu,-37.6167,-73.65,9.68,85,97,3.99,CL,1696293646
